65,et,1.0,2.0,2.0,0.0,0.0,8.0,5.0,2,8.146354668403174e-12,0.0014388806431690283,0.9985611193486845
70,ti,1.0,1.0,3.0,2.0,0.0,8.0,5.0,2,4.429808563058125e-11,0.25113818503849933,0.7488618149172026
21,ve,1.0,1.0,2.0,1.0,1.0,12.0,3.0,1,9.033350046425564e-12,0.9973618272090182,0.002638172781948397
16,hoc,1.0,1.5,4.0,0.0,0.0,5.0,9.0,2,2.3301004434249573e-11,0.03166567247250052,0.9683343275041983
77,hi,1.0,1.0,3.0,1.0,0.0,2.0,12.0,1,5.1741518265200494e-11,0.8334001733869217,0.1665998265613367
42,ra,1.0,1.0,1.0,2.0,0.0,12.0,2.0,1,1.6214167155091117e-11,0.9976560044822947,0.0023439955014910585
39,ip,1.0,2.0,3.0,0.0,1.0,5.0,10.0,2,2.6919643320558395e-11,0.011823129837986482,0.988176870135094
99,pe,1.0,1.0,2.0,1.0,1.0,1.0,13.0,1,6.714311419841093e-11,0.6521381576655851,0.3478618422672716
52,tan,1.0,2.0,1.0,1.0,1.0,1.0,11.0,2,1.1494643156739813e-11,0.0012181017873125997,0.9987818982011928
35,sub,1.0,2.0,5.0,0.0,0.0,8.0,5.0,2,4.223292376124313e-12,0.0006123324082017345,0.999387667587575
71,de,1.0,0.0,2.0,0.0,4.0,9.0,4.0,1,3.622357461187804e-09,0.6943150856382132,0.30568491073942927
44,sco,1.0,1.0,4.0,0.0,3.0,7.0,9.0,2,5.350151381094522e-11,0.19349907550130607,0.8065009244451924
58,pi,1.0,1.0,3.0,1.0,1.0,5.0,9.0,1,6.273812824499473e-11,0.8019351365743698,0.19806486336289214
29,tro,1.0,0.0,4.0,0.0,1.0,0.0,16.0,2,5.652045233164395e-09,0.20651488175708266,0.7934851125908723
34,et,1.0,3.0,2.0,0.0,0.0,6.0,9.0,2,3.813681607371595e-12,0.0001859551121292703,0.9998140448840569
